batch_size,N,K,library,tflops
128,512,512,cublas,2.15
256,512,512,cublas,16.52
384,512,512,cublas,23.96
512,512,512,cublas,31.44
640,512,512,cublas,38.49
768,512,512,cublas,46.66
896,512,512,cublas,53.51
1024,512,512,cublas,60.63
1152,512,512,cublas,63.04
1280,512,512,cublas,68.59
1408,512,512,cublas,76.91
1536,512,512,cublas,82.49
1664,512,512,cublas,87.64
1792,512,512,cublas,93.47
1920,512,512,cublas,89.32
2048,512,512,cublas,104.48
128,4096,4096,cublas,178.28
256,4096,4096,cublas,305.05
384,4096,4096,cublas,367.34
512,4096,4096,cublas,478.09
640,4096,4096,cublas,552.04
768,4096,4096,cublas,643.37
896,4096,4096,cublas,607.97
1024,4096,4096,cublas,698.70
1152,4096,4096,cublas,686.29
1280,4096,4096,cublas,716.03
1408,4096,4096,cublas,589.24
1536,4096,4096,cublas,730.84
1664,4096,4096,cublas,611.75
1792,4096,4096,cublas,665.42
1920,4096,4096,cublas,705.69
2048,4096,4096,cublas,764.97
128,14336,4096,cublas,258.17
256,14336,4096,cublas,470.04
384,14336,4096,cublas,585.00
512,14336,4096,cublas,639.99
640,14336,4096,cublas,653.49
768,14336,4096,cublas,673.50
896,14336,4096,cublas,690.63
1024,14336,4096,cublas,708.10
1152,14336,4096,cublas,748.59
1280,14336,4096,cublas,679.99
1408,14336,4096,cublas,752.46
1536,14336,4096,cublas,717.16
1664,14336,4096,cublas,726.87
1792,14336,4096,cublas,780.25
1920,14336,4096,cublas,735.06
2048,14336,4096,cublas,743.56
128,4096,1024,cublas,91.52
256,4096,1024,cublas,164.43
384,4096,1024,cublas,211.46
512,4096,1024,cublas,269.19
640,4096,1024,cublas,308.44
768,4096,1024,cublas,350.39
896,4096,1024,cublas,249.23
1024,4096,1024,cublas,384.07
1152,4096,1024,cublas,391.71
1280,4096,1024,cublas,409.18
1408,4096,1024,cublas,407.09
1536,4096,1024,cublas,449.85
1664,4096,1024,cublas,389.89
1792,4096,1024,cublas,425.53
1920,4096,1024,cublas,430.73
2048,4096,1024,cublas,476.97
128,1024,4096,cublas,77.63
256,1024,4096,cublas,153.33
384,1024,4096,cublas,200.63
512,1024,4096,cublas,261.50
640,1024,4096,cublas,289.37
768,1024,4096,cublas,322.24
896,1024,4096,cublas,350.33
1024,1024,4096,cublas,399.31
1152,1024,4096,cublas,350.65
1280,1024,4096,cublas,393.86
1408,1024,4096,cublas,425.68
1536,1024,4096,cublas,454.24
1664,1024,4096,cublas,466.28
1792,1024,4096,cublas,475.59
1920,1024,4096,cublas,521.51
2048,1024,4096,cublas,561.08
128,512,512,cutlass,8.499
256,512,512,cutlass,17.136
384,512,512,cutlass,24.837
512,512,512,cutlass,33.872
640,512,512,cutlass,41.653
768,512,512,cutlass,50.845
896,512,512,cutlass,56.911
1024,512,512,cutlass,65.934
1152,512,512,cutlass,71.001
1280,512,512,cutlass,80.65
1408,512,512,cutlass,86.471
1536,512,512,cutlass,96.413
1664,512,512,cutlass,102.174
1792,512,512,cutlass,110.997
1920,512,512,cutlass,118.549
2048,512,512,cutlass,124.935
128,4096,1024,cutlass,87.287
256,4096,1024,cutlass,172.242
384,4096,1024,cutlass,256.091
512,4096,1024,cutlass,320.443
640,4096,1024,cutlass,293.225
768,4096,1024,cutlass,345.624
896,4096,1024,cutlass,393.629
1024,4096,1024,cutlass,433.649
1152,4096,1024,cutlass,393.206
1280,4096,1024,cutlass,437.493
1408,4096,1024,cutlass,484.492
1536,4096,1024,cutlass,515.866
1664,4096,1024,cutlass,473.187
1792,4096,1024,cutlass,512.078
1920,4096,1024,cutlass,559.054
2048,4096,1024,cutlass,609.949
128,4096,4096,cutlass,96.64
256,4096,4096,cutlass,191.344
384,4096,4096,cutlass,286.389
512,4096,4096,cutlass,272.558
640,4096,4096,cutlass,468.906
768,4096,4096,cutlass,566.868
896,4096,4096,cutlass,654.547
1024,4096,4096,cutlass,746.873
1152,4096,4096,cutlass,438.189
1280,4096,4096,cutlass,488.422
1408,4096,4096,cutlass,541.454
1536,4096,4096,cutlass,587.746
1664,4096,4096,cutlass,644.836
1792,4096,4096,cutlass,694.801
1920,4096,4096,cutlass,741.421
2048,4096,4096,cutlass,798.273
128,14336,4096,cutlass,221.347
256,14336,4096,cutlass,548.057
384,14336,4096,cutlass,402.671
512,14336,4096,cutlass,676.627
640,14336,4096,cutlass,494.039
768,14336,4096,cutlass,702.032
896,14336,4096,cutlass,555.832
1024,14336,4096,cutlass,706.815
1152,14336,4096,cutlass,630.354
1280,14336,4096,cutlass,710.253
1408,14336,4096,cutlass,635.675
1536,14336,4096,cutlass,708.977
1664,14336,4096,cutlass,765.991
1792,14336,4096,cutlass,860.586
1920,14336,4096,cutlass,764.955
2048,14336,4096,cutlass,844.494
128,1024,4096,cutlass,43.732
256,1024,4096,cutlass,87.17
384,1024,4096,cutlass,127.085
512,1024,4096,cutlass,173.218
640,1024,4096,cutlass,206.552
768,1024,4096,cutlass,247.257
896,1024,4096,cutlass,284.712
1024,1024,4096,cutlass,336.413
1152,1024,4096,cutlass,360.05
1280,1024,4096,cutlass,409.91
1408,1024,4096,cutlass,450.786
1536,1024,4096,cutlass,478.577
1664,1024,4096,cutlass,521.252
1792,1024,4096,cutlass,547.03
1920,1024,4096,cutlass,595.779
2048,1024,4096,cutlass,655.576
